t=2026-05-04T00:36:31+0530 lvl=info msg="no configuration paths supplied"
t=2026-05-04T00:36:31+0530 lvl=info msg="using configuration at default config path" path="/Users/parth/Library/Application Support/ngrok/ngrok.yml"
t=2026-05-04T00:36:31+0530 lvl=info msg="open config file" path="/Users/parth/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=d5f43c2b57d2 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=c196536d56c8 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=1ebc9ac9417c l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=6e64e093404d l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=3bbb8f0ce9ae l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:19+0530 lvl=info msg="join connections" obj=join id=f86c7b8000d1 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:20+0530 lvl=info msg="join connections" obj=join id=20806a776996 l=[::1]:5173 r=[2a02:26f7:d6c4:6800:0:6000:0:6]:27953
t=2026-05-04T00:41:20+0530 lvl=info msg="join connections" obj=join id=26fb7c485856 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:20+0530 lvl=info msg="join connections" obj=join id=8ed7167a8455 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:20+0530 lvl=info msg="join connections" obj=join id=d1e82f7a9140 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:20+0530 lvl=info msg="join connections" obj=join id=f7f4b0fb8591 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:20+0530 lvl=info msg="join connections" obj=join id=05dbb3ee2f04 l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:20+0530 lvl=info msg="join connections" obj=join id=cb277aabdefe l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:20+0530 lvl=info msg="join connections" obj=join id=1b7ffb1f143c l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:41:20+0530 lvl=info msg="join connections" obj=join id=a97cfc3433ed l=[::1]:5173 r=[2a09:bac2:3b78:277d::3ef:cd]:50810
t=2026-05-04T00:43:32+0530 lvl=info msg=start pg=/api/tunnels id=88323546d2c15d3e
t=2026-05-04T00:43:32+0530 lvl=info msg=end pg=/api/tunnels id=88323546d2c15d3e status=200 dur=9.63825ms
t=2026-05-04T00:43:46+0530 lvl=info msg="join connections" obj=join id=8faeccf38d17 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:47+0530 lvl=info msg="join connections" obj=join id=fa5b925c2b5f l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:47+0530 lvl=info msg="join connections" obj=join id=661297d03010 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:47+0530 lvl=info msg="join connections" obj=join id=864e68cb0662 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:47+0530 lvl=info msg="join connections" obj=join id=aa3a8c83e725 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=481caae3b3a8 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=07467515f164 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=9628d5793820 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=bfdb0fe35d3c l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=1345057ebbd0 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=db720584207b l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=6f35a8daa9a0 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=b87b2c4fa039 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=c23601c0418c l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=01585453706e l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=d722af4f9697 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
t=2026-05-04T00:43:48+0530 lvl=info msg="join connections" obj=join id=88ad78486f27 l=[::1]:5173 r=[2a09:bac3:3b78:277d::3ef:64]:27246
